Log,Question,Mode,Correlation,P-Value,significance
Attempt_duration__Nothing,I think the robot was nice,Delta_Task,-0.5166529797962822,0.028139908224511293,*
Attempt_duration__Nothing,I think the robot was nice,Social,,,-
Attempt_duration__Nothing,I think the robot was nice,Task,-0.5166529797962822,0.028139908224511293,*
Attempt_duration__Nothing,I think the robot was serious,Baseline,-0.12290442019307253,0.48181941041566767,-
Attempt_duration__Nothing,I think the robot was serious,"Delta Logs, Delta_Social",-0.6501153809125463,0.004724061921388288,**
Attempt_duration__Nothing,I think the robot was serious,"Delta Logs, Delta_Task",-0.09349143012686956,0.712139399506716,-
Attempt_duration__Nothing,I think the robot was serious,Delta_Social,-0.3819063448410025,0.13034990908893093,-
Attempt_duration__Nothing,I think the robot was serious,Delta_Task,-0.23559840391971126,0.3466323868640593,-
Attempt_duration__Nothing,I think the robot was serious,Social,-0.3950467383688768,0.11655900682070994,-
Attempt_duration__Nothing,I think the robot was serious,Task,-0.4511755795246497,0.060201474413239475,-
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Baseline,-0.010223891983591055,0.9535175324372711,-
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Social",-0.49433986198742313,0.04368605917015997,*
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Task",-0.5471131172301921,0.01878085277299054,*
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Social,-0.4182875755278196,0.09473837530989383,-
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Task,-0.5673765660164954,0.014057617573045378,*
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Social,-0.4952042097027422,0.043262565316737674,*
Attempt_duration__Nothing,I was concentrated when doing the activity with Blueberry and a group of friends,Task,-0.6019803977823507,0.008209361416106578,**
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,Baseline,-0.14671756087016893,0.40032849596263687,-
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Social",0.361904466354445,0.15345337352025143,-
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Task",-0.09759000729485331,0.700062075969013,-
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,Delta_Social,0.20680255220254,0.4258071521005605,-
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,Delta_Task,0.09759000729485331,0.700062075969013,-
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,Social,,,-
Attempt_duration__Nothing,I would like to redo this activity with Blueberry,Task,-0.07100716024967263,0.7794902772021626,-
Attempt_duration__Nothing,I would like to redo this activity with a group of friends,Baseline,0.11648249460648784,0.5051766601106549,-
Attempt_duration__Nothing,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Social",0.1063990353197863,0.6844220656204896,-
