Log,Question,Mode,Correlation,P-Value,significance
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,"Delta Logs, Delta_Task",0.06825236327899352,0.7878565378356387,-
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,Delta_Social,0.11755760264309971,0.6531817812050619,-
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,Delta_Task,-0.034179296351233165,0.8928977071439334,-
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,Social,0.10282090888278797,0.694545868371871,-
Accepted_or_Rejected__Word_length,I enjoyed writing on the tablet,Task,0.16412762703128408,0.5151884713600483,-
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Baseline,-0.026771144854576233,0.8786699862594727,-
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Social",0.34246385822608255,0.178438832736713,-
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Task",0.5308787979724242,0.023400579473289853,*
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Social,0.3554570669392673,0.1614589085601059,-
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Task,0.29002094671369905,0.24303916997655914,-
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Social,0.20278686455934697,0.43504478474142383,-
Accepted_or_Rejected__Word_length,I enjoyed writing with Blueberry and a group of friends on the tablet,Task,0.4189191452531209,0.08356658081996769,-
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Baseline,-0.15625887331272137,0.3700441498610697,-
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Social",0.573846782249922,0.016009455000360096,*
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Task",0.035935050111469746,0.8874282668460651,-
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Delta_Social,0.679876702822416,0.0026762496957306943,**
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Delta_Task,0.4073524575416102,0.09337362822354738,-
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Social,0.3961044941999687,0.11549545585746103,-
Accepted_or_Rejected__Word_length,I found it easy to teach Blueberry how to write with a group of friends,Task,0.6906036170428859,0.0015092419475814319,**
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,Baseline,-0.03213359341649611,0.8546034799235436,-
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Social",0.7123690030188945,0.0013334152212654672,**
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Task",0.10790444373286696,0.6699752871845388,-
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,Delta_Social,0.6749104853324767,0.002955099008761131,**
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,Delta_Task,0.3704570928973554,0.13019684540801352,-
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,Social,0.6605295397379567,0.003898739351497362,**
Accepted_or_Rejected__Word_length,I think I helped the group teach Blueberry how to write,Task,0.1316806937724387,0.6024758211572587,-
Accepted_or_Rejected__Word_length,I think the robot was a good student,Baseline,-0.11551252420322583,0.5087532953468192,-
Accepted_or_Rejected__Word_length,I think the robot was a good student,"Delta Logs, Delta_Social",0.4613678908414021,0.06230251693817845,-
Accepted_or_Rejected__Word_length,I think the robot was a good student,"Delta Logs, Delta_Task",0.27318625211721104,0.2727046593063751,-
